temperature,humidity,wind_speed,evapotranspiration,rainfall_pattern,soil_type,soil_moisture_levels,water_retention_capacity,drainage_properties,crop_type,crop_water_requirement,growth_stage,water_requirement
24.36350297118406,52.41844910800191,14.599966219799407,7.105156546977391,low,loamy,38.369984140291784,12.133055116778344,good,maize,12.873243738100918,seedling,13.401242039602577
38.767857660247905,49.974725773884195,3.6902399119742313,5.674339628273545,low,clay,44.64958437933426,51.42523098382936,poor,maize,11.958518042586274,seedling,14.255995989811584
33.29984854528513,40.5692347501716,6.9327938873977235,9.715988198911527,low,sandy,25.843094392055043,22.465379112970382,good,rice,8.967628143256691,vegetative,15.553164219733128
29.966462104925917,66.43600020608928,13.265612737156365,3.7518276078739055,low,loamy,18.01304292530334,24.196868217793444,good,rice,11.384615184233875,maturity,14.631521581057132
18.900466011060914,58.59744963051773,9.641786890489598,6.702851327991525,low,clay,19.348095845995765,21.312263917443275,good,rice,9.206642802636576,seedling,7.761264267977135
18.899863008405067,81.94205953944022,14.771420772697876,7.601680119921781,low,clay,36.36267162639773,52.0041977610981,moderate,maize,14.184832703128592,reproductive,15.320522225944833
16.452090304204987,31.926574828923496,19.224158024457193,8.604515914763052,low,sandy,30.540111529617327,58.94509977031512,moderate,rice,17.19550406122699,vegetative,23.841010756153725
36.654403644373375,68.63207565330758,2.33093375430395,5.255768243424057,moderate,loamy,26.892235893976572,47.75933254650177,moderate,wheat,16.377205426313758,vegetative,21.42239478567226
30.02787529358022,75.77693271069367,14.191354327961218,7.495375261259852,moderate,clay,14.124833544927831,51.17889302345951,moderate,rice,8.791771197323882,vegetative,13.012018249796093
32.70181444490114,75.56919415129842,4.60688311264229,4.425611771074262,moderate,clay,44.39550593745065,41.02502302596689,moderate,wheat,11.660131395433881,seedling,14.25275240868534
15.51461235739506,83.1644380257315,8.289534548151385,5.483808738894562,high,loamy,40.14592013783327,36.43874541982393,poor,rice,3.1811570889685323,reproductive,1.4713403908550804
39.247746304049855,73.74202456976965,0.6572545159027965,9.165017049627194,moderate,clay,11.328737078265332,46.07890023952575,good,rice,17.794728366814034,seedling,21.161920245217086
