temperature,humidity,wind_speed,evapotranspiration,rainfall_pattern,soil_type,soil_moisture_levels,water_retention_capacity,drainage_properties,crop_type,crop_water_requirement,growth_stage,water_requirement
24.36350297118406,49.89126547733588,11.084975509354573,6.743301115349565,moderate,sandy,19.89724030985606,35.6733641197422,good,wheat,11.656576663687872,vegetative,17.8
38.76785766024791,46.63296769851226,3.1754239361813177,5.133632081807738,low,silty,19.440263502017626,46.81250117495578,poor,rice,5.141653829217511,fruiting,10.58
33.29984854528513,34.092313000228806,5.526275568363349,9.680486723775468,low,clay,30.805982811893625,43.49523651800452,good,rice,5.427770684936487,flowering,16.74
29.96646210492592,68.58133360811904,10.117569234438363,2.970806058858144,low,clay,5.105963839727309,44.60176658178299,good,rice,2.668951928377681,seedling,4.76
18.900466011060917,58.12993284069031,7.490295495604959,6.290707743990466,low,sandy,38.14102615440039,10.108228986814698,good,soybean,3.652292872553725,vegetative,9.54
18.899863008405067,89.25607938592029,11.20928006020596,7.301890134912004,low,sandy,30.005177964766872,30.577283661460672,moderate,rice,7.260650341375825,fruiting,14.76
16.452090304204987,22.56876643856466,14.437514567731466,8.430080404108434,moderate,silty,29.75383850041962,41.30914269541286,poor,soybean,5.154198211394075,fruiting,13.87
36.654403644373375,71.5094342044101,2.189926971870364,4.662739273852064,moderate,peaty,19.768717817300484,17.258284899027984,poor,wheat,10.197254187458,vegetative,13.95
30.02787529358022,81.0359102809249,10.788731887771885,7.182297168917334,moderate,clay,38.80253875733988,40.05809166412223,moderate,rice,8.22158204064392,vegetative,14.38
32.70181444490114,80.75892553506456,3.839990256665661,3.728813242458545,moderate,clay,5.011313108828488,10.366406066095184,good,cotton,9.313079219434073,flowering,13.05
15.51461235739506,90.885917367642,6.509912547409754,4.919284831256382,high,peaty,7.676849354060974,33.00666764498976,good,soybean,6.416890946844699,seedling,8.9
39.247746304049855,78.32269942635952,0.9765095240295274,9.060644180830591,moderate,silty,33.14225060996645,44.05312479973365,good,soybean,2.996056230068449,fruiting,11.75
35.81106602001054,94.2248049318157,2.4706570432441346,9.549168483978589,high,loamy,30.85453083971519,27.25393432901385,poor,maize,7.623566562571758,seedling,14.0
20.308477766956905,46.61252798567132,5.136770691209046,7.469356122345383,high,loamy,14.497442365752914,39.57810110863883,moderate,rice,4.591835059367135,flowering,11.34
19.54562418017752,60.256753340123446,5.458794176675782,4.369167016985665,low,clay,25.816595804503983,31.21594679643477,good,rice,7.223218733390132,seedling,10.46
19.585112746335845,21.12637306263125,13.543985638700388,8.380520109771975,moderate,loamy,23.621849791466666,35.89163913681137,poor,maize,3.1157369697779997,flowering,12.15
22.60605607398844,20.556606984263297,11.256287184364467,1.2328037355287815,moderate,silty,23.449016045375725,30.666716635020933,poor,soybean,9.792072706349355,vegetative,10.16
28.11891079080595,39.21012963612159,14.596653038712097,1.9247131948547893,moderate,loamy,25.84464565353481,29.033469730636003,poor,soybean,5.993878914658734,seedling,6.97
25.798625466052894,28.06457577112682,9.186536899860988,6.95236362737825,low,sandy,39.7807353954442,43.66506318452848,poor,maize,8.651665511164712,flowering,16.97
22.28072850495105,40.81690943486029,4.00484911532411,3.6212371774305168,high,silty,39.55707301192517,13.709727423563178,moderate,wheat,6.923999338684865,seedling,8.52
30.296322368059485,34.163463562271794,5.250997933863822,9.5624759656043,low,peaty,39.35885929822371,33.38605141404124,poor,soybean,6.667665393042811,flowering,17.87
18.487346516301045,22.28160198709186,5.137620887733522,4.924545508830743,high,clay,24.2039536831463,14.592419511912077,good,rice,5.818840053198721,fruiting,9.05
22.30361621338045,92.74433171248396,5.234167751117148,4.864283383502594,high,silty,16.133286251581726,32.51231646580406,good,wheat,6.827966992402177,fruiting,10.48
24.159046082342293,20.65785051111132,10.257980510121326,7.102715591718382,moderate,loamy,24.603851345253457,48.543841707268896,poor,cotton,8.127051331700459,seedling,12.88
26.4017496054259,78.88657154696683,8.196714957311034,7.908117060755707,low,silty,26.794097267134767,12.283915640451948,moderate,maize,4.24113273413488,vegetative,11.84
34.62939903482534,32.171830953561326,6.088650582256342,5.280028643126228,moderate,peaty,15.900332405763532,26.88027212785572,good,soybean,9.144546852661604,seedling,12.54
19.991844553958995,92.978369759968,2.6618016465663907,2.926008115405517,moderate,silty,27.147157023905866,42.07884801104321,good,soybean,6.856207617104084,seedling,8.78
27.85586096034029,91.42367516719086,0.8210178626611156,7.959777784530594,moderate,peaty,26.76979957387777,24.78766273481236,good,maize,8.167808380847864,flowering,17.11
